    INFO: 2025-01-29 10:46:44,952:               log.py:   20: Logging to C:\Users\jpobl\Desktop\busIA\busiav2\busIA\mdpdf.log
   DEBUG: 2025-01-29 10:46:44,952:               cli.py:  103: documentacion_tecnica.md
    INFO: 2025-01-29 10:46:44,953:         converter.py:   14: documentacion_tecnica.md
   DEBUG: 2025-01-29 10:46:44,962:      pdf_renderer.py:  470: printSegment: Documentación Técnica Detallada - BusIA
   DEBUG: 2025-01-29 10:46:44,965:      pdf_renderer.py:  470: printSegment: 1. Stack Tecnológico
   DEBUG: 2025-01-29 10:46:44,966:      pdf_renderer.py:  470: printSegment: 1.1 Backend
   DEBUG: 2025-01-29 10:46:44,967:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-01-29 10:46:44,968:      pdf_renderer.py:  470: printSegment: Framework Principal
   DEBUG: 2025-01-29 10:46:44,971:      pdf_renderer.py:  470: printSegment: : Django 5.0
   DEBUG: 2025-01-29 10:46:44,974:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-01-29 10:46:44,975:      pdf_renderer.py:  470: printSegment: Framework web de alto nivel basado en Python
   DEBUG: 2025-01-29 10:46:44,976:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-01-29 10:46:44,977:      pdf_renderer.py:  470: printSegment: Sigue el patrón arquitectónico MVT (Model-View-Template)
   DEBUG: 2025-01-29 10:46:44,978:      pdf_renderer.py:  470: printSegment: 1.2 APIs y REST Framework
   DEBUG: 2025-01-29 10:46:44,978:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-01-29 10:46:44,979:      pdf_renderer.py:  470: printSegment: Django REST Framework
   DEBUG: 2025-01-29 10:46:44,980:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-01-29 10:46:44,981:      pdf_renderer.py:  470: printSegment: Utilizado para crear APIs RESTful
   DEBUG: 2025-01-29 10:46:44,982:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-01-29 10:46:44,982:      pdf_renderer.py:  470: printSegment: Incluye serialización de datos
   DEBUG: 2025-01-29 10:46:44,983:      pdf_renderer.py:  470: printSegment: l
